implementation,metric,value,unit,percentage,context
hashmap,cycles,237984408590.0,count,,total
hashmap,instructions,354453181046.0,count,,total
hashmap,instructions_per_cycle,1.49,ratio,,total
hashmap,branches,73652325881.0,count,,total
hashmap,branch_misses,466554659.0,count,0.63,of_all_branches
hashmap,L1_dcache_load_misses,1489510083.0,count,1.32,of_L1_accesses
hashmap,L1_dcache_loads,112798279843.0,count,,total
hashmap,LLC_load_misses,483825493.0,count,,total
hashmap,cycles_kernel,17921411243.0,count,,kernel_mode
hashmap,cycles_user,220167758796.0,count,,user_mode
hashmap,instructions_kernel,22155016225.0,count,,kernel_mode
hashmap,ipc_kernel,1.24,ratio,,kernel_mode
hashmap,instructions_user,332053274896.0,count,,user_mode
hashmap,ipc_user,1.51,ratio,,user_mode
hashmap,time,59.954093802,seconds,,total
hashmap,user_time,56.576934,seconds,,total
hashmap,system_time,3.367341,seconds,,total
